Temp Co Co2Ni CoNi2 Ni
240 1.75 1.52 1.50 1.66
260 1.80 1.45 1.40 1.66
280 1.82 1.43 1.52 1.67
300 1.81 1.43 1.56 1.67
320 1.82 1.43 1.50 1.67
340 1.82 1.44 1.54 1.67
360 1.82 1.44 1.55 1.67
380 1.82 1.44 1.56 1.69
400 1.83 1.44 1.55 1.69
420 1.82 1.43 1.55 1.69
440 1.83 1.42 1.51 1.69
460 1.83 1.38 1.45 1.67
480 1.83 1.33 1.36 1.63
500 1.83 1.26 1.27 1.58
520 1.81 1.20 1.19 1.51
540 1.79 1.14 1.14 1.43
560 1.76 1.10 1.11 1.36
580 1.70 1.08 1.10 1.30
600 1.63 1.06 1.08 1.26
620 1.55 1.05 1.07 1.23
640 1.45 1.04 1.07 1.21
660 1.37 1.03 1.07 1.20
680 1.29 1.03 1.07 1.19
700 1.23 1.03 1.07 1.19
720 1.19 1.03 1.07 1.18
740 1.16 1.03 1.07 1.18
760 1.14 1.03 1.07 1.18
780 1.12 1.03 1.07 1.18
800 1.11 1.03 1.07 1.19
820 1.10 1.03 1.07 1.19
840 1.10 1.03 1.07 1.19
860 1.09 1.03 1.07 1.19
880 1.09 1.03 1.07 1.19
900 1.09 1.03 1.07 1.19
